               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.027675,            0.014501,          0.00035748,             0.95774,             0.95578,             0.97596,             0.71077,            0.022278,           0.0062467,          0.00020831,           0.0063432,           0.0063432,           0.0063432
                  46,            0.027249,            0.014715,           0.0003902,             0.95639,             0.96676,             0.98028,             0.71567,            0.022271,           0.0062545,          0.00020906,            0.006204,            0.006204,            0.006204
                  47,            0.026871,             0.01435,          0.00043066,             0.95078,             0.96102,             0.97952,             0.71375,            0.021996,           0.0062425,          0.00018635,            0.006064,            0.006064,            0.006064
                  48,            0.026631,            0.014411,          0.00044653,             0.95694,             0.95922,             0.97752,             0.71509,            0.021616,           0.0062752,          0.00021768,           0.0059235,           0.0059235,           0.0059235
                  49,            0.026258,             0.01409,          0.00030052,             0.95086,             0.95762,             0.97909,             0.71637,            0.021329,           0.0062489,          0.00019439,           0.0057826,           0.0057826,           0.0057826
                  50,            0.026006,            0.014083,          0.00030665,             0.95462,             0.96832,             0.97883,              0.7271,            0.021397,           0.0062492,          0.00020841,           0.0056413,           0.0056413,           0.0056413
                  51,            0.026144,            0.014078,          0.00041501,             0.96337,             0.95655,             0.98104,             0.72351,            0.021323,           0.0060748,          0.00019962,              0.0055,              0.0055,              0.0055
                  52,            0.025987,            0.014028,          0.00042392,             0.97131,             0.94893,             0.97979,             0.72127,            0.021289,           0.0061246,          0.00018773,           0.0053587,           0.0053587,           0.0053587
                  53,            0.025299,            0.013984,          0.00035105,             0.97016,             0.95816,             0.97984,             0.73445,            0.020861,           0.0061067,          0.00017645,           0.0052174,           0.0052174,           0.0052174
                  54,            0.025506,            0.013971,          0.00033599,              0.9758,             0.95472,             0.98085,             0.73559,            0.020696,           0.0059929,          0.00017665,           0.0050765,           0.0050765,           0.0050765
                  55,            0.025295,            0.013521,          0.00026361,             0.96759,             0.95955,             0.97915,             0.74569,            0.020621,           0.0060381,          0.00016691,            0.004936,            0.004936,            0.004936
